,award_score,Bronze,Silver,Shortlist,Gold,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,mode,speechiness,tempo,time_signature,valence,audioEffect_HandClaps,audioEffect_Silence,audioEffect_Silence_duration,audioEffect_Speech,contentModeration_adultClassifierValue,durationInSeconds,meanSentiment,n_faces,n_topics,sentiment_Negative_durationratio,Loser,million,new,people,abstract,building,car,electronics,floor,grass,indoor,man,monitor,nintendo,outdoor,person,road,screen,sky,text,tree,wall,at_new,at_people,at_world,"category_Public Health & Safety, Public Awareness Messages",categoryCode_A03,categoryCode_A04,categoryCode_A06,categoryCode_B01,categoryCode_B02,categoryCode_B03,categoryCode_C01,categoryCode_C02,categoryCode_C03,categoryCode_E01,categoryCode_F02,categoryCode_F03,festivalYear_2012.0,festivalYear_2013.0,festivalYear_2015.0,festivalYear_2016.0,festivalYear_2017.0,mediaCode_DIB,mediaCode_DIC,mediaCode_DID,mediaCode_DIE,mediaCode_IA,mediaCode_IB,mediaCode_IC,mediaCode_ID,mediaCode_IE,mediaCode_IF,mediaCode_MOA,mediaCode_MOC,mediaCode_MOF,mediaCode_MOI,mediaDescription_Campaign,mediaDescription_Craft,mediaDescription_Digital & Social,mediaDescription_Direct Marketing: Digital & Social,mediaDescription_Online Video,mediaDescription_Sectors,mediaDescription_Strategy,mediaDescription_Technology,mediaDescription_Use of Direct Marketing,mediaDescription_Web Campaign,mediaDescription_Web Platforms,section_Mobile,Grand Prix
2195,0.0,0.0,0.0,0.0,0.0,0.00744,0.74,11.986709439697309,0.467,0.818,8.0,0.382,1.0,0.0498,127.986,4.0,0.828,1.0,1.0,1.6486586255873816,1.0,0.8301299999999989,4.418840607796598,0.6738145084067599,0.6931471805599453,4.0,0.18085365853658497,1,0.44405339546079775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044680742546031216,0.1736184561964067,0.0,0.0,0.0,0.11872436701891771,0.13723912634205912,0.0,0.0,0.03420438487842821,0.0,0.04133202349696957,0.0,0.0,0.026943385170888963,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
2196,0.0,0.0,0.0,0.0,0.0,0.0906,0.556,12.218796354734609,0.741,1.6e-06,8.0,0.0702,1.0,0.0305,129.891,5.0,0.16699999999999898,0.0,1.0,4.393213824064446,1.0,0.93424,4.795790545596741,0.278992239597661,0.6931471805599453,5.0,0.0,1,0.0,0.0,0.0,0.02199108823932807,0.0,0.0,0.0,0.0,0.0,0.0,0.021670208568983634,0.0,0.031747701087543635,0.0,0.0,0.0,0.03244038482848194,0.0,0.029861989407285766,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2197,0.0,0.0,0.0,0.0,0.0,0.027000000000000003,0.634,12.462391751714815,0.927,0.0,2.0,0.0986,1.0,0.0838,146.094,4.0,0.878,1.0,1.0,3.380994674344636,1.0,0.9592,4.499809670330265,0.43251256674503996,1.3862943611198906,4.0,0.158314606741573,1,0.0,0.4173993547195347,0.0,0.09298234024671756,0.0,0.0,0.22965122414228126,0.0,0.0,0.19245385347836363,0.0,0.0809718900274997,0.0,0.029611001894075756,0.14669469167816787,0.10703606026092852,0.09144258398460309,0.0,0.0,0.0,0.0,0.20128568392668483,0.03359970027049628,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2198,0.0,0.0,0.0,0.0,0.0,0.675,0.645,12.49398469153601,0.38,0.0,0.0,0.11199999999999902,1.0,0.0284,109.94,4.0,0.391,1.0,1.0,3.9080149840306073,1.0,0.60768,4.624972813284271,0.488081951413124,1.3862943611198906,6.0,0.0,1,0.0,0.0,0.0,0.02072487332539849,0.0,0.0,0.07678058839037706,0.06555238158603101,0.0,0.12868836352389051,0.040844938880648426,0.10828715383708162,0.0,0.019800026381284343,0.09809052647432402,0.0,0.0,0.0,0.028142579438319732,0.0,0.0230479791825521,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2199,0.0,0.0,0.0,0.0,0.0,0.007759999999999991,0.713,12.63373620147359,0.902,0.0018,9.0,0.0515,0.0,0.0427,134.884,4.0,0.9570000000000001,1.0,1.0,4.770684624465665,1.0,0.82265,4.770684624465665,0.287646823839358,0.6931471805599453,5.0,0.007264957264957259,1,0.0,0.0,0.0,0.0,0.1715267306183251,0.0,0.0,0.0,0.0,0.17521669183928607,0.0,0.0,0.0,0.1078355501883485,0.1483955078158359,0.06496623839071397,0.055501675750439974,0.0,0.051090345016224836,0.0,0.0,0.0,0.04078711664663922,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2200,0.0,0.0,0.0,0.0,0.0,3.22999999999999e-05,0.24600000000000002,12.169553878829754,0.998,0.00758,8.0,0.135,1.0,0.19,173.79,4.0,0.138,1.0,1.0,4.219507705176107,0.0,0.9509,4.219507705176107,0.0,0.0,4.0,0.0,1,0.0,0.0,0.0,0.04871794550940069,0.07403425335749426,0.0,0.0,0.07704696921370194,0.0,0.03781345598242817,0.04800708490419617,0.06363763456080855,0.0,0.046543908432287576,0.03843022221602778,0.0,0.0,0.06704629377011595,0.0,0.08101765312665667,0.054178868854233876,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
2201,0.0,0.0,0.0,0.0,0.0,0.142,0.5670000000000001,12.250606143890982,0.444,4.42999999999999e-05,9.0,0.113,1.0,0.0259,152.997,4.0,0.568,0.0,1.0,4.189654742026425,1.0,0.29166,4.189654742026425,0.35691095887483,1.0986122886681098,3.0,0.0,1,0.0,0.0,0.1412087643409987,0.0,0.13935284231492423,0.0,0.0,0.21753540418314318,0.0,0.14235066418396544,0.045181273729806765,0.0,0.0,0.043804223304348903,0.1446725118098462,0.0,0.0,0.0,0.0,0.0,0.15296931540164072,0.0,0.1988191792865306,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
2202,0.0,0.0,0.0,0.0,0.0,0.557999999999999,0.358,12.209636288206113,0.499,0.0,5.0,0.233999999999999,1.0,0.0396,100.036,4.0,0.307,1.0,1.0,2.3223877202902243,1.0,0.97114,4.867534450455582,0.396896162036959,2.0794415416798357,7.0,0.13643410852713098,1,0.0,0.05377869731169043,0.0,0.133914751984559,0.0407007256692209,0.02576897620672934,0.06614952181750366,0.0,0.0,0.10394074558396131,0.06598037746898187,0.15743308064387135,0.0,0.05117552383566012,0.12676331786063014,0.0,0.1975457531392519,0.036859057613488476,0.018184461185920774,0.0890797738811357,0.0,0.017393704462306793,0.0,0.01871137109416191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2203,0.0,0.0,0.0,0.0,0.0,0.27399999999999897,0.581,12.593282129116076,0.5920000000000001,1.23e-05,0.0,0.0983,1.0,0.0361,141.92700000000002,4.0,0.392,1.0,1.0,2.610069792741999,1.0,0.90886,4.795790545596741,0.355082075300998,1.3862943611198906,6.0,0.576416666666666,1,0.0,0.0,0.0,0.04700057038932164,0.0,0.0,0.0,0.0,0.0,0.3283243131220343,0.09262953721192621,0.0,0.0,0.06735475669977972,0.2780662770343759,0.0,0.0346666925709706,0.03234140948202967,0.12764539160843238,0.0,0.1306724715385361,0.09157102023449645,0.10190354900296146,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2204,0.0,0.0,0.0,0.0,0.0,0.0209,0.649,12.35386314220475,0.753,5.80999999999999e-05,8.0,0.105,1.0,0.0319,87.99,4.0,0.483,0.0,0.0,0.0,1.0,0.956429999999999,4.418840607796598,0.8934980273800992,0.6931471805599453,4.0,0.0,1,0.0,0.0,0.0,0.0,0.05127548578095524,0.0,0.04166816204871028,0.0,0.0,0.15713564221630688,0.0,0.08814975441975077,0.0,0.0,0.13308220340128626,0.0,0.049774318711176435,0.0,0.04581820425271359,0.0,0.03752381760573661,0.08765157192365333,0.0,0.14143747464528802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0
